Location,location_clean,population,population_millions,world_share_pct,date_parsed,source_clean,notes_clean
Gambia,Gambia,2422712.0,2.422712,0.03,2024-05-01,Preliminary census results[159],
Moldova,Moldova,2381300.0,2.3813,0.03,2025-01-01,Official estimate[160],[ab]
Albania,Albania,2363314.0,2.363314,0.03,2025-01-01,Official estimate[161],
Botswana,Botswana,2359609.0,2.359609,0.03,2022-03-18,2022 census result[162],
Slovenia,Slovenia,2135107.0,2.135107,0.03,2026-01-01,National quarterly estimate[163],
Lesotho,Lesotho,2116427.0,2.116427,0.03,2024-01-01,Official survey[164],
Guinea-Bissau,Guinea-Bissau,1852784.0,1.852784,0.02,2025-07-01,National annual projection[165],
North Macedonia,North Macedonia,1822612.0,1.822612,0.02,2024-12-31,Official estimate[166],
Latvia,Latvia,1815900.0,1.8159,0.02,2026-04-01,Monthly national estimate[167],
Equatorial Guinea,Equatorial Guinea,1668768.0,1.668768,0.02,2024-07-01,Official estimate[168],
Bahrain,Bahrain,1594654.0,1.594654,0.02,2024-12-31,Official estimate[169],
Kosovo,Kosovo,1585566.0,1.585566,0.02,2024-04-04,2024 national census[170],
Timor-Leste,Timor-Leste,1391221.0,1.391221,0.02,2025-07-01,National annual projection[171],
Trinidad and Tobago,Trinidad and Tobago,1367764.0,1.367764,0.02,2025-06-30,Official estimate[172],
Estonia,Estonia,1360745.0,1.360745,0.02,2026-01-01,Official estimate[173],
Mauritius,Mauritius,1241856.0,1.241856,0.02,2025-12-31,National estimate[174],
Eswatini,Eswatini,1235549.0,1.235549,0.01,2024-07-01,Official projection[175],
Djibouti,Djibouti,1066809.0,1.066809,0.01,2024-05-20,2024 census result[176],
Cyprus,Cyprus,983000.0,0.983,0.01,2024-12-31,Official estimate[177],[ac]
Guyana,Guyana,956044.0,0.956044,0.01,2024-12-31,Official estimate[178],
Comoros,Comoros,944388.0,0.944388,0.01,2026-01-01,Official estimate[179],
Fiji,Fiji,902623.0,0.902623,0.01,2026-01-01,National annual projection[180],
Bhutan,Bhutan,784043.0,0.784043,0.01,2025-01-01,National annual projection[181],
Solomon Islands,Solomon Islands,750325.0,0.750325,0.009,2024-07-01,National annual projection[182],
Luxembourg,Luxembourg,690959.0,0.690959,0.008,2026-01-01,Official estimate[183],
Macau,Macau,688100.0,0.6881,0.008,2026-03-31,National quarterly estimate[184],
Montenegro,Montenegro,622902.0,0.622902,0.008,2026-01-01,Official estimate[185],
Suriname,Suriname,616500.0,0.6165,0.007,2021-07-01,Official estimate[186],
Western Sahara,Western Sahara,600904.0,0.600904,0.007,2025-07-01,UN projection[116],
Malta,Malta,574250.0,0.57425,0.007,2024-12-31,Official estimate[187],
Maldives,Maldives,515132.0,0.515132,0.006,2022-09-13,2022 census result[188],
Cape Verde,Cape Verde,491233.0,0.491233,0.006,2021-06-16,2021 census result[189],
Northern Cyprus,Northern Cyprus,476214.0,0.476214,0.006,2023-12-31,Official projection[190],[ad]
Brunei,Brunei,458600.0,0.4586,0.006,2025-07-01,Official estimate[191],
Belize,Belize,417634.0,0.417634,0.005,2025-07-01,Official estimate[192],
Bahamas,Bahamas,398165.0,0.398165,0.005,2022-04-04,2022 census result[193],
Iceland,Iceland,395050.0,0.39505,0.005,2026-04-01,National quarterly estimate[194],
Transnistria,Transnistria,367776.0,0.367776,0.004,2024-03-31,Official estimate[195],[ae]
Vanuatu,Vanuatu,321409.0,0.321409,0.004,2024-07-01,National annual projection[196],
French Polynesia,French Polynesia,279500.0,0.2795,0.003,2024-12-31,National annual projection[197],
New Caledonia,New Caledonia,264596.0,0.264596,0.003,2025-01-01,National annual projection[198],
Barbados,Barbados,261692.0,0.261692,0.003,2025-12-31,Official estimate[199],
Abkhazia,Abkhazia,244236.0,0.244236,0.003,2022-01-01,Official estimate[200],[af]
São Tomé and Príncipe,São Tomé and Príncipe,209607.0,0.209607,0.003,2024-01-01,Preliminary census result[201],
Samoa,Samoa,205557.0,0.205557,0.002,2021-11-06,2021 Census[202],
Saint Lucia,Saint Lucia,184100.0,0.1841,0.002,2023-07-01,Official estimate[203],
Curaçao,Curaçao,156115.0,0.156115,0.002,2025-01-01,Official estimate[204],
Guam,Guam,153836.0,0.153836,0.002,2020-04-01,2020 census result[205],
Seychelles,Seychelles,123097.0,0.123097,0.001,2025-12-31,Official estimate[206],
Kiribati,Kiribati,120740.0,0.12074,0.001,2021-07-01,National annual projection[196],
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,110872.0,0.110872,0.001,2022-07-01,Official estimate[207],
Aruba,Aruba,110625.0,0.110625,0.001,2025-12-31,Official estimate[208],
Grenada,Grenada,109021.0,0.109021,0.001,2021-01-01,Preliminary Census results[209],
Antigua and Barbuda,Antigua and Barbuda,103603.0,0.103603,0.001,2024-01-01,Official estimate[210],
Jersey,Jersey,103267.0,0.103267,0.001,2021-03-21,2021 census result[211],
Tonga,Tonga,100179.0,0.100179,0.001,2021-11-30,2021 census result[212],
Andorra,Andorra,89484.0,0.089484,0.001,2026-04-30,Monthly national estimate[213],
Cayman Islands,Cayman Islands,88833.0,0.088833,0.001,2024-12-31,National annual projection[214],
U.S. Virgin Islands,U.S. Virgin Islands,87146.0,0.087146,0.001,2020-04-01,2020 census result[215],
Isle of Man,Isle of Man,84975.0,0.084975,0.001,2025-04-01,Official estimate[216],
Micronesia,Micronesia,75817.0,0.075817,0.0009,2023-02-12,2023 Census[217],
Dominica,Dominica,71946.0,0.071946,0.0009,2018-01-01,UN estimate[218],
Guernsey,Guernsey,64781.0,0.064781,0.0008,2023-12-31,National quarterly estimate[219],
Bermuda,Bermuda,64055.0,0.064055,0.0008,2021-07-01,National annual projection[220],
Greenland,Greenland,56740.0,0.05674,0.0007,2026-01-01,National quarterly estimate[221],
South Ossetia,South Ossetia,56520.0,0.05652,0.0007,2021-12-31,Official estimate[222],[ag]
Faroe Islands,Faroe Islands,55279.0,0.055279,0.0007,2026-04-01,Monthly national estimate[223],
Saint Kitts and Nevis,Saint Kitts and Nevis,51320.0,0.05132,0.0006,2022-01-01,2022 census result[224],
Turks and Caicos Islands,Turks and Caicos Islands,50828.0,0.050828,0.0006,2024-07-01,Official estimate[225],
American Samoa,American Samoa,49710.0,0.04971,0.0006,2020-04-01,2020 census result[226],
Northern Mariana Islands,Northern Mariana Islands,47329.0,0.047329,0.0006,2020-04-01,2020 census result[227],
Marshall Islands,Marshall Islands,42418.0,0.042418,0.0005,2021-09-30,2021 Census[228],
Sint Maarten,Sint Maarten,41349.0,0.041349,0.0005,2025-01-01,Official estimate[229],
Liechtenstein,Liechtenstein,41237.0,0.041237,0.0005,2025-12-31,National estimate[230],
British Virgin Islands,British Virgin Islands,39471.0,0.039471,0.0005,2024-07-01,UN projection[3],
Monaco,Monaco,38857.0,0.038857,0.0005,2025-12-31,Census[231],
Gibraltar,Gibraltar,38196.0,0.038196,0.0005,2022-11-14,Preliminary census results[232],
San Marino,San Marino,34154.0,0.034154,0.0004,2026-03-31,Monthly national estimate[233],
Saint Martin,Saint Martin,31496.0,0.031496,0.0004,2025-01-01,Official estimate[234],
Palau,Palau,16733.0,0.016733,0.0002,2021-07-01,2021 Census[235],
Anguilla,Anguilla,16010.0,0.01601,0.0002,2024-12-31,Official estimate[236],
Cook Islands,Cook Islands,15040.0,0.01504,0.0002,2021-07-01,2021 Census[237],
Nauru,Nauru,11680.0,0.01168,0.0001,2021-10-30,2021 Census[238],
Wallis and Futuna,Wallis and Futuna,11620.0,0.01162,0.0001,2023-07-24,2023 Census[239],
Tuvalu,Tuvalu,10643.0,0.010643,0.0001,2022-12-12,2022 Census[240],
Saint Barthélemy,Saint Barthélemy,10562.0,0.010562,0.0001,2025-01-01,Official estimate[234],
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5819.0,0.005819,0.0,2025-01-01,Official estimate[234],
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",5651.0,0.005651,0.0,2021-07-01,2021 Census[241][242][243],
Montserrat,Montserrat,4386.0,0.004386,0.0,2023-09-23,2023 census result[244],
Falkland Islands,Falkland Islands,3662.0,0.003662,0.0,2021-10-10,2021 census result[245],
Tokelau,Tokelau,2608.0,0.002608,0.0,2025-01-01,2025 Census[246],
Norfolk Island,Norfolk Island,2188.0,0.002188,0.0,2021-01-01,2021 Census[247],
Christmas Island,Christmas Island,1692.0,0.001692,0.0,2021-01-01,2021 Census[248],
Niue,Niue,1681.0,0.001681,0.0,2022-11-11,2022 Census[249],
Vatican City,Vatican City,882.0,0.000882,0.0,2024-12-31,Official figure[250],[ah]
Cocos (Keeling) Islands,Cocos (Keeling) Islands,593.0,0.000593,0.0,2020-06-30,2021 Census[251],
Pitcairn Islands,Pitcairn Islands,35.0,3.5e-05,0.0,2023-07-01,Official estimate[252],
